"Zip.Code","Incidence","Year"
92240,94.1,2013
92241,62.6,2013
92243,174.8,2013
92249,134.4,2013
92250,134.2,2013
92251,146.6,2013
92252,57.2,2013
92253,31.8,2013
92254,62.7,2013
92260,55.9,2013
92262,57.5,2013
92264,84.9,2013
92274,59,2013
92277,15.8,2013
92284,59.3,2013
92301,126.9,2013
92307,125.5,2013
92308,108.1,2013
92311,195.3,2013
92313,61.9,2013
92314,49,2013
92316,103.5,2013
92324,94.5,2013
92335,81.8,2013
92336,57.2,2013
92337,59.3,2013
92344,54.7,2013
92345,81,2013
92346,69.4,2013
92354,85.1,2013
92359,72.3,2013
92371,62.9,2013
92373,75,2013
92374,75,2013
92376,101.5,2013
92377,34.3,2013
92392,131.2,2013
92394,126.6,2013
92395,141,2013
92399,44.3,2013
92404,148.3,2013
92405,155.5,2013
92407,118.6,2013
92408,97.4,2013
92410,132.4,2013
92411,188.4,2013
92501,121.8,2013
92503,73.4,2013
92504,90.1,2013
92505,76,2013
92506,50.9,2013
92507,96.3,2013
92508,26.1,2013
92509,69.6,2013
92530,31.3,2013
92532,43.5,2013
92543,81,2013
92544,77.7,2013
92545,59.4,2013
92551,98,2013
92553,80.8,2013
92555,59.4,2013
92557,81.3,2013
92562,28.4,2013
92563,30.4,2013
92567,47.8,2013
92570,63.5,2013
92571,66.7,2013
92582,62.3,2013
92583,88.2,2013
92584,42.1,2013
92585,68.3,2013
92586,47.4,2013
92587,43.4,2013
92591,35.8,2013
92592,31.8,2013
92595,40.4,2013
92596,30.5,2013
92602,34.9,2013
92604,46.8,2013
92606,41.9,2013
92612,68.2,2013
92614,44.9,2013
92618,27,2013
92620,49.8,2013
92626,54.1,2013
92627,62.5,2013
92629,32.1,2013
92630,30.8,2013
92646,38.3,2013
92647,39.4,2013
92648,29.1,2013
92649,27.1,2013
92651,37.4,2013
92653,26.7,2013
92655,100.4,2013
92656,31.9,2013
92660,34.5,2013
92672,38.8,2013
92673,16.8,2013
92675,39.8,2013
92677,23.1,2013
92679,22.9,2013
92683,43.3,2013
92688,20.2,2013
92691,42.7,2013
92692,38.1,2013
92694,24.8,2013
92701,76.6,2013
92703,94.5,2013
92704,81.9,2013
92705,60.5,2013
92706,83.3,2013
92707,98.6,2013
92708,43,2013
92780,53.8,2013
92782,25.7,2013
92801,75.1,2013
92802,70.1,2013
92804,81.3,2013
92805,69.5,2013
92806,76.1,2013
92807,37.6,2013
92808,25.7,2013
92821,55.8,2013
92831,82.4,2013
92832,84.4,2013
92833,43.2,2013
92835,33.5,2013
92840,76.7,2013
92841,67.1,2013
92843,62.3,2013
92844,50.7,2013
92865,48.1,2013
92866,66.1,2013
92867,41.2,2013
92868,94.2,2013
92869,35.8,2013
92870,54.9,2013
92879,51.9,2013
92880,47.3,2013
92881,43.9,2013
92882,44.4,2013
92883,33.1,2013
92886,39,2013
92887,54,2013
93001,75.6,2013
93003,63.2,2013
93004,61.9,2013
93010,55.1,2013
93012,19.3,2013
93013,81.1,2013
93015,49.7,2013
93021,41.2,2013
93030,105.9,2013
93033,55,2013
93035,47.5,2013
93036,49.7,2013
93041,43.7,2013
93060,33.1,2013
93063,51.3,2013
93065,53.6,2013
93101,81.3,2013
93103,67.6,2013
93105,32,2013
93110,50.9,2013
93117,69.1,2013
93203,53.4,2013
93204,74.6,2013
93210,130.7,2013
93212,107.9,2013
93215,92.9,2013
93219,90,2013
93221,59.3,2013
93223,69.4,2013
93230,150.8,2013
93234,114.7,2013
93241,65.2,2013
93245,104.8,2013
93247,91,2013
93250,103.5,2013
93256,89,2013
93257,56.5,2013
93263,50.4,2013
93267,98.4,2013
93268,28.5,2013
93274,114.7,2013
93277,54.8,2013
93280,59.9,2013
93286,75.6,2013
93291,61.9,2013
93292,49.9,2013
93301,205.5,2013
93304,162.7,2013
93305,116.8,2013
93306,104.6,2013
93307,127.4,2013
93308,89.6,2013
93309,117.9,2013
93311,56.1,2013
93312,36.8,2013
93313,75.4,2013
93314,40.1,2013
93401,51.6,2013
93402,76.8,2013
93420,41.3,2013
93422,27.1,2013
93433,60.6,2013
93434,140.3,2013
93436,69.9,2013
93444,69.2,2013
93446,45.6,2013
93454,98.5,2013
93455,55.6,2013
93458,73.6,2013
93505,113.1,2013
93514,73.9,2013
93534,185.3,2013
93535,155,2013
93536,67.4,2013
93543,79.2,2013
93550,143.6,2013
93551,58.3,2013
93552,84,2013
93555,79.3,2013
93560,92.6,2013
93561,60.6,2013
93591,152,2013
93609,205.6,2013
93610,102.1,2013
93611,86.3,2013
93612,125.8,2013
93615,56.5,2013
93618,69.3,2013
93619,55.8,2013
93620,148.8,2013
93622,128.9,2013
93625,163.1,2013
93630,72.8,2013
93631,96.1,2013
93635,112.5,2013
93636,67.6,2013
93637,115.7,2013
93638,144.5,2013
93640,112.2,2013
93646,88.8,2013
93647,96.7,2013
93648,173.8,2013
93654,92.8,2013
93656,136.9,2013
93657,109,2013
93660,96,2013
93662,146.6,2013
93701,204.4,2013
93702,149.7,2013
93703,179.5,2013
93704,151.2,2013
93705,207.5,2013
93706,207.2,2013
93710,136,2013
93711,86.9,2013
93720,72.8,2013
93722,167.1,2013
93723,84.8,2013
93725,131.5,2013
93726,175.3,2013
93727,112,2013
93728,216.1,2013
93730,60.8,2013
93901,113.1,2013
93905,120.3,2013
93906,108,2013
93907,101.4,2013
93926,65.2,2013
93927,58.6,2013
93930,46.7,2013
93933,93.4,2013
93940,59.7,2013
93950,62.4,2013
93955,84.8,2013
93960,61,2013
94002,20.8,2013
94010,38.1,2013
94014,83.1,2013
94015,47.7,2013
94019,77.2,2013
94025,33.2,2013
94030,34.3,2013
94040,24.7,2013
94041,52.9,2013
94043,27.9,2013
94044,60.9,2013
94061,47.5,2013
94063,94.4,2013
94066,48.2,2013
94070,19.6,2013
94080,68.9,2013
94085,43.5,2013
94086,36.5,2013
94087,21.2,2013
94089,33.3,2013
94102,103.9,2013
94103,81.8,2013
94107,50.2,2013
94109,34.1,2013
94110,81.2,2013
94112,101.8,2013
94114,31.8,2013
94115,73.3,2013
94116,45.1,2013
94117,85.6,2013
94118,36,2013
94121,30.1,2013
94122,39.4,2013
94124,136.5,2013
94131,51,2013
94132,89.8,2013
94133,76.8,2013
94134,94.7,2013
94303,94,2013
94401,86.8,2013
94402,27.8,2013
94403,53.1,2013
94404,20.9,2013
94501,73.5,2013
94503,65,2013
94505,100.4,2013
94506,26,2013
94509,150.3,2013
94510,66.6,2013
94513,64.2,2013
94518,48.8,2013
94519,68.4,2013
94520,104.9,2013
94521,48.8,2013
94523,36.3,2013
94526,33.1,2013
94530,48,2013
94531,129.3,2013
94533,99.2,2013
94534,50.9,2013
94536,61.7,2013
94538,95.5,2013
94539,25,2013
94541,118.7,2013
94542,107.6,2013
94544,101.3,2013
94545,113.9,2013
94546,74.9,2013
94547,50.1,2013
94549,23.5,2013
94550,42.7,2013
94551,27.2,2013
94553,69.8,2013
94555,45.3,2013
94558,51.5,2013
94559,51.1,2013
94560,129.7,2013
94561,78.1,2013
94564,44.3,2013
94565,145,2013
94566,36.9,2013
94568,41.8,2013
94572,165.4,2013
94577,106.3,2013
94578,132.9,2013
94579,78,2013
94580,105.8,2013
94582,43.8,2013
94583,40.2,2013
94585,66.6,2013
94587,97.5,2013
94588,45,2013
94589,175.8,2013
94590,205.4,2013
94591,108.8,2013
94596,70.1,2013
94597,35.6,2013
94598,41.7,2013
94601,111.4,2013
94602,84.8,2013
94603,192.9,2013
94605,185.7,2013
94606,153.2,2013
94607,179.6,2013
94608,179,2013
94609,156.6,2013
94610,49.5,2013
94611,28.1,2013
94612,159.1,2013
94618,37.9,2013
94619,141.7,2013
94621,203.8,2013
94702,123.5,2013
94703,127,2013
94706,49.5,2013
94710,87.9,2013
94801,195,2013
94803,122.2,2013
94804,183.4,2013
94805,97.5,2013
94806,123,2013
94901,45.9,2013
94903,47.9,2013
94928,51.5,2013
