"Zip.Code","Incidence","Year"
91356,34.2,2013
91360,18.3,2013
91361,8.8,2013
91362,23.6,2013
91364,22.8,2013
91367,25.7,2013
91381,13.1,2013
91384,25,2013
91387,26.4,2013
91390,8.5,2013
91401,34.4,2013
91402,85.1,2013
91403,21.1,2013
91405,83.4,2013
91406,53.3,2013
91411,43.8,2013
91423,15.7,2013
91436,19.6,2013
91501,27.5,2013
91502,21.4,2013
91504,27.9,2013
91505,26,2013
91506,30.7,2013
91601,43.3,2013
91602,20.9,2013
91604,21.4,2013
91605,56.1,2013
91606,51,2013
91607,21.6,2013
91701,22.2,2013
91702,38,2013
91706,41.7,2013
91708,63.2,2013
91709,16.6,2013
91710,30.8,2013
91711,27,2013
91722,37.8,2013
91723,46.5,2013
91724,42.6,2013
91730,31.3,2013
91731,39.7,2013
91732,42.9,2013
91733,35.5,2013
91737,20,2013
91739,29.1,2013
91740,38.5,2013
91741,23,2013
91744,44.2,2013
91745,25.7,2013
91746,29.4,2013
91748,16.7,2013
91750,25.4,2013
91752,30,2013
91754,17.1,2013
91755,13.9,2013
91761,31.2,2013
91762,43.1,2013
91763,48.5,2013
91764,59.9,2013
91765,15.3,2013
91766,49.2,2013
91767,58.1,2013
91768,46.2,2013
91770,24.2,2013
91773,27.9,2013
91775,17.5,2013
91776,20.3,2013
91780,16.5,2013
91784,25.1,2013
91786,58.8,2013
91789,22.9,2013
91790,32.3,2013
91791,23.3,2013
91792,28.4,2013
91801,21.6,2013
91803,21.1,2013
91901,37.2,2013
91902,22.8,2013
91906,72.4,2013
91910,37,2013
91911,51,2013
91913,20.2,2013
91914,17.2,2013
91915,16.2,2013
91932,39.2,2013
91941,29.8,2013
91942,49.9,2013
91945,41.7,2013
91950,55,2013
91977,47.1,2013
92007,18.8,2013
92008,13.8,2013
92009,9.8,2013
92010,15.7,2013
92011,10.9,2013
92019,22.8,2013
92020,45.6,2013
92021,44.7,2013
92024,9.7,2013
92025,30.5,2013
92026,18.5,2013
92027,28,2013
92028,22.8,2013
92029,11.6,2013
92037,10,2013
92040,30.5,2013
92054,36.3,2013
92056,24.4,2013
92057,25.9,2013
92058,35.1,2013
92064,16.1,2013
92065,19.4,2013
92069,20.1,2013
92071,30.1,2013
92078,15.5,2013
92081,12.8,2013
92082,18.5,2013
92083,45.5,2013
92084,25.8,2013
92101,59.7,2013
92102,61.6,2013
92103,33.6,2013
92104,42.5,2013
92105,53.2,2013
92106,13.8,2013
92107,19,2013
92108,19.8,2013
92109,16.7,2013
92110,20.4,2013
92111,29,2013
92113,87,2013
92114,75.9,2013
92115,39.7,2013
92116,25.7,2013
92117,22.3,2013
92118,11.7,2013
92119,18,2013
92120,25.9,2013
92122,10.7,2013
92123,24.9,2013
92124,11.4,2013
92126,22.6,2013
92127,8,2013
92128,10.6,2013
92129,17.8,2013
92130,9.8,2013
92131,12.8,2013
92139,39,2013
92154,29.4,2013
92173,33.4,2013
92201,39.4,2013
92203,18.9,2013
92211,23.6,2013
92220,65.1,2013
92223,44.8,2013
92225,50.3,2013
92227,82.7,2013
92230,97.5,2013
92231,26.2,2013
92233,26.2,2013
92234,24.2,2013
92236,39.8,2013
92240,41.7,2013
92241,18.6,2013
92243,62,2013
92250,28.5,2013
92251,26.5,2013
92252,70.8,2013
92253,19.4,2013
92254,34.9,2013
92257,96.6,2013
92260,22.1,2013
92262,49,2013
92264,41.6,2013
92270,13.2,2013
92274,26.3,2013
92276,25.5,2013
92277,33.2,2013
92284,38.8,2013
92301,81.9,2013
92307,78.9,2013
92308,56.6,2013
92311,108.6,2013
92313,17,2013
92314,34,2013
92315,97.8,2013
92316,44.2,2013
92317,89.7,2013
92320,29.6,2013
92324,52.5,2013
92325,120.6,2013
92335,57.9,2013
92336,26.5,2013
92337,38.4,2013
92342,73,2013
92344,27.5,2013
92345,57.3,2013
92346,28.8,2013
92352,70.8,2013
92354,28.8,2013
92356,55.9,2013
92359,44.4,2013
92363,187.4,2013
92371,61.7,2013
92373,27.7,2013
92374,32.7,2013
92376,59.1,2013
92377,46.5,2013
92392,63.7,2013
92394,64.5,2013
92395,83.5,2013
92397,53,2013
92399,31.2,2013
92404,94.1,2013
92405,94.8,2013
92407,57.6,2013
92408,48.9,2013
92410,105.9,2013
92411,129.6,2013
92501,71.5,2013
92503,39.4,2013
92504,41.3,2013
92505,35.4,2013
92506,31.7,2013
92507,44.7,2013
92508,22.9,2013
92509,31.2,2013
92530,37.2,2013
92532,26.1,2013
92539,33.7,2013
92543,76,2013
92544,38.8,2013
92545,45.4,2013
92548,55.4,2013
92551,34.8,2013
92553,54,2013
92555,40.9,2013
92557,27.2,2013
92562,24.7,2013
92563,22.1,2013
92567,20.7,2013
92570,42.6,2013
92571,34.9,2013
92582,32.2,2013
92583,42.5,2013
92584,31.3,2013
92585,18.7,2013
92586,52.7,2013
92587,35,2013
92591,24,2013
92592,19.5,2013
92595,27.3,2013
92596,19.6,2013
92602,17.2,2013
92603,8.7,2013
92604,19.4,2013
92606,17.1,2013
92610,24,2013
92612,13.6,2013
92614,10.1,2013
92618,26,2013
92620,13.8,2013
92624,29.3,2013
92625,25.1,2013
92626,26.7,2013
92627,31.9,2013
92629,20.4,2013
92630,24.8,2013
92637,20.7,2013
92646,18.4,2013
92647,28.8,2013
92648,26.5,2013
92649,17.1,2013
92651,18.4,2013
92653,20.6,2013
92655,44.1,2013
92656,16.6,2013
92660,20.1,2013
92663,19,2013
92672,18.3,2013
92673,14.4,2013
92675,18.4,2013
92677,17.8,2013
92679,18.3,2013
92683,33.1,2013
92688,17.6,2013
92691,17.3,2013
92692,14.7,2013
92694,14.5,2013
92701,41.4,2013
92703,28.8,2013
92704,27,2013
92705,17.9,2013
92706,24.7,2013
92707,33.8,2013
92708,17.9,2013
92780,25.4,2013
92782,12.7,2013
92801,52.4,2013
92802,36.6,2013
92804,37.6,2013
92805,31.5,2013
92806,48.1,2013
92807,19.9,2013
92808,15.6,2013
92821,23.2,2013
92831,36.9,2013
92832,41.9,2013
92833,34.7,2013
92835,16.7,2013
92840,28,2013
92841,36.8,2013
92843,36.5,2013
92844,25.5,2013
92845,11,2013
92860,30,2013
92865,24.1,2013
92866,41.2,2013
92867,14,2013
92868,24.7,2013
