Zip Code,Incidence
93619,51.6
93620,114.8
93622,154.7
93625,155.4
93630,114.5
93631,80.6
93635,139.9
93636,103.7
93637,162.8
93638,153.6
93640,139.2
93646,121.1
93647,76
93648,185
93654,143
93656,104.4
93657,136.5
93660,104.5
93662,224.1
93701,201.3
93702,174.8
93703,238
93704,177.9
93705,266
93706,223
93710,175.6
93711,112.9
93720,78.7
93722,172.2
93723,83.8
93725,192.5
93726,169.7
93727,137.8
93728,193.8
93730,39.7
93901,117.5
93905,112.8
93906,106.5
93907,91.2
93926,55.6
93927,79.5
93930,67.4
93933,86.2
93940,26
93950,80.7
93955,65.1
93960,66.6
94002,26.2
94010,24
94014,76.7
94015,74.4
94019,58.4
94025,43.1
94030,66.7
94043,29.7
94044,65.4
94061,56.8
94062,37.5
94063,89.8
94066,76.7
94070,17
94080,75.5
94085,40.8
94086,26.1
94087,16.8
94089,74.9
94102,112.1
94103,134.7
94107,103.1
94109,52
94110,78.8
94112,90.5
94114,48.9
94115,86
94116,49.6
94117,58.5
94118,34.2
94121,46
94122,57.1
94124,151.5
94131,57.6
94132,91.7
94133,61.7
94134,88.1
94303,77.1
94306,23.3
94401,75.6
94402,30.4
94403,47.6
94404,33.3
94501,97.5
94502,71.2
94503,66.3
94505,54.9
94506,28.4
94509,152.4
94510,47.6
94513,64.8
94518,66.6
94519,118.1
94520,105
94521,57.1
94523,46.7
94526,30.5
94530,55.8
94531,110.8
94533,130.2
94534,45.8
94536,65
94538,81.2
94539,21
94541,131.3
94542,102.9
94544,116.4
94545,140.2
94546,79
94547,85
94549,24.9
94550,38.8
94551,31.2
94552,32.4
94553,63.8
94555,59.3
94558,68.6
94559,63.3
94560,82.6
94561,82.5
94564,65.7
94565,146.5
94566,38
94568,37.7
94572,175.1
94577,109.1
94578,142.6
94579,109.7
94580,106.1
94582,36.7
94583,29.3
94585,86.3
94587,83.5
94588,30.4
94589,188
94590,205.6
94591,124.4
94596,36.7
94597,36.5
94598,39.6
94601,153.5
94602,91.4
94603,210.3
94605,224.5
94606,146.8
94607,230.8
94608,203.3
94609,176.9
94610,87.5
94611,31.2
94612,269.8
94619,115.5
94621,269.1
94702,85.6
94703,167.8
94706,65.3
94710,179
94801,226.8
94803,108.9
94804,216.1
94805,138.3
94806,149.1
94901,49.8
94903,33.1
94925,61
94928,54.7
94931,83
94941,35.1
94945,42.2
94947,64.9
94949,57.7
94952,49.6
94954,65.9
95003,30.1
95008,26.5
95012,123.1
95014,10.8
95019,232.9
95020,79
95023,75.1
95035,30.4
95037,41.5
95050,33.8
95051,33.8
95054,29.1
95060,44.2
95062,27.9
95076,93.3
95110,52.9
95111,58.4
95112,40.7
95116,71.2
95117,39.8
95118,51
95119,69.8
95120,15.3
95121,45.1
95122,72.1
95123,46.7
95124,29.7
95125,30.3
95126,40.3
95127,57.2
95128,46.3
95129,24.4
95131,36.7
95132,41.9
95133,49.7
95136,55
95138,25.9
95148,47.5
95202,178.4
95203,151.1
95204,78.1
95205,116
95206,111.1
95207,93.7
95209,73.8
95210,91.1
95212,80.2
95215,58.5
95219,42.4
95240,70.3
95242,54.9
95252,118.2
95301,117.3
95304,71.7
95307,81.5
95315,130.5
95316,106.8
95320,53
95322,87.3
95324,72.5
95326,44.1
95330,98.7
95334,81.4
95336,140
95337,129.1
95340,184.9
95341,132.4
95348,137.1
95350,126.6
95351,113.8
95354,144.3
95355,87
95356,68.6
95357,88.5
95358,102.6
95360,74
95361,86.3
95363,104.5
95366,61.6
95367,87.4
95368,63.4
95370,89.7
95376,105.2
95377,47.4
95380,128
95382,57.5
95386,62
95388,109.2
95391,62.9
95401,89.1
95403,75.5
95404,46.1
95405,64
95407,72.1
95409,32.3
95422,80.9
95437,91.8
95448,47.5
95451,103.8
95472,29.5
95476,28.4
95482,91.8
95490,66.5
95492,26.2
95501,78
95503,53.3
95519,42.2
95521,85.8
95531,80.3
95540,56.1
95602,39
95603,42
95605,70.6
95608,89.3
95610,60.7
95616,49.1
95618,26.6
95620,110.3
95621,68.9
95624,70.9
95628,71.8
95630,25.5
95632,58.1
95648,34.6
95660,112.8
95661,40
95662,81
95667,59.4
95670,78.9
95673,101.3
95677,68.1
95678,58.9
95682,39.9
95687,85.2
95688,100.2
95691,61.2
95694,79
95695,68.7
95726,83.1
95746,28.7
95747,39
95757,64.6
95758,59
95762,36.9
95765,24.7
95776,60.1
95815,135.3
95817,127.5
95818,115.3
95820,111.6
95821,132.8
95822,115.5
95823,148.8
95824,118.5
95825,160.5
95826,108.7
95827,56.7
95828,85.1
95829,59.5
95831,63.4
95832,151.1
95833,102.3
95834,117.4
95835,80.7
95838,145.1
95841,152
95842,93.7
95843,60.1
95864,69.3
95901,38.9
95926,68.8
95928,54.9
95932,67.6
95945,31.7
95948,88.1
95949,46.9
95953,77.9
95959,41.4
95961,41.3
95963,46
95965,99.5
95966,108.2
95969,38.9
95973,25.4
95987,59.7
95988,69.1
95991,56.3
95993,27
96001,65.4
96002,100.6
96003,74.1
96007,71.4
96019,122.3
96021,53.2
96022,71.1
96080,108.9
96097,87.8
96130,80.9
96150,32
90001,103.1
90002,131.3
90003,138.5
90004,101.9
90005,65.6
90006,101.3
90007,122.6
90008,146.6
90011,103.9
90012,69.1
90015,137.2
90016,144.7
90017,111
90018,107.8
90019,109.3
90020,66.8
90022,84.7
90023,115.7
90025,21
90026,106.8
90027,41.2
90028,126.5
90029,82
90031,86.4
90032,95.5
90033,127.9
90034,56.6
90035,39
90036,34.5
90037,129.9
90038,120.9
90039,57.6
90040,125.8
90041,50.5
90042,77.6
90043,178.9
90044,165.5
90045,62
90046,38.8
90047,182
90057,104.4
90059,153.6
90061,135.1
90062,171.7
90063,83.9
90065,85.9
90066,44.2
90201,69.7
90220,143
90221,129.6
90222,131.1
90230,56.3
90232,45
90240,61.1
90241,77.2
90242,80.9
90247,109
90248,91.8
90249,101.2
90250,137.3
90255,83.5
90260,136.4
90262,77.5
90266,22.3
90270,69
90272,29.6
90275,25
90277,42.7
90278,41
90280,74.8
90291,40.1
90301,133.6
90302,124
90303,128.8
90304,139.8
90305,143.2
90404,79
90405,48.1
90501,104.8
90502,73.1
90503,45.9
90504,72.8
