Zip Code,Incidence
95829,31.9
95831,32.4
95832,100.2
95833,60.2
95834,38.2
95835,27.7
95838,113.2
95841,68.6
95842,82.8
95843,46.2
95864,41.6
95901,47.1
95926,38.1
95928,34.8
95932,19.7
95945,55.7
95946,19.3
95948,37.8
95949,28.6
95953,25
95954,30.3
95959,23.2
95961,35.9
95963,29.1
95965,42.4
95966,36
95969,35.9
95971,54.3
95973,25.9
95987,26
95988,42.4
95991,36.1
95993,19.5
96001,39.4
96002,51.5
96003,26.6
96007,35.8
96019,27.7
96021,52
96022,16.2
96035,64
96067,37.5
96080,62.8
96088,48.6
96097,54.8
96101,100.8
96122,90.8
96130,28.7
96137,65.9
96150,27.6
96161,18.2
90001,51.4
90002,66.7
90003,79.7
90004,31.9
90005,20.9
90006,28.7
90007,34.8
90008,80.7
90011,39.6
90012,15.9
90013,75.9
90014,69.4
90015,56.9
90016,62.6
90017,56.3
90018,52.8
90019,42
90020,29.6
90021,109.1
90022,41.1
90023,41.6
90024,14.3
90025,18.3
90026,28.5
90027,24.8
90028,39.2
90029,44.1
90031,34.9
90032,38.4
90033,58.7
90034,19
90035,15.7
90036,19.3
90037,56.8
90038,34.5
90039,32.7
90040,34.3
90041,27.5
90042,22.3
90043,110.5
90044,85
90045,14.6
90046,17.2
90047,90.7
90048,13.6
90049,7.6
90056,43.2
90057,46.4
90058,54.5
90059,87.4
90061,94.3
90062,68.8
90063,30
90064,20.7
90065,50.9
90066,18.1
90068,12.1
90069,18.2
90094,26
90201,35.8
90210,26.4
90211,24.3
90212,39.2
90220,73.4
90221,62.3
90222,98
90230,33.8
90232,32.8
90240,27
90241,30.5
90242,35.1
90245,13.3
90247,53.1
90248,22.5
90249,48
90250,42.6
90254,11.2
90255,41.1
90260,41.3
90262,44.1
90265,11.6
90266,7.6
90270,34.7
90272,6.9
90274,9.8
90275,10.7
90277,13.4
90278,18.2
90280,35.4
90291,19.7
90292,26.7
90301,58.7
90302,58.2
90303,57.4
90304,26.6
90305,58.4
90401,60.2
90403,16.6
90404,46.3
90405,18.7
90501,41.5
90502,35
90503,16.3
90504,20.6
90505,15
90601,38.4
90602,51.7
90603,32.8
90604,30
90605,31.4
90606,37.4
90620,29.2
90621,29.1
90623,23.5
90630,16.2
90631,27.5
90638,20.2
90640,35.8
90650,31.8
90660,36.1
90670,39
90680,36.2
90701,19.9
90703,25
90706,38.2
90710,35.9
90712,155.2
90713,17.4
90715,23.9
90716,14.8
90717,34.8
90720,28.6
90723,39.3
90731,66.4
90732,24.1
90740,17.7
90744,48.1
90745,42
90746,53.3
90755,30.4
90802,55.6
90803,13.8
90804,74.4
90805,56.7
90806,63.1
90807,35.6
90808,13.6
90810,43.9
90813,101.3
90814,28.2
90815,18.4
91001,34.2
91006,8
91007,9
91010,40
91011,13.6
91016,34.6
91030,13.4
91040,26.2
91042,17.3
91101,18.6
91103,27.3
91104,25.6
91105,17.7
91106,18.1
91107,11.7
91201,22.8
91202,18.5
91203,28.7
91204,38.3
91205,41.5
91206,21.7
91208,17.4
91214,19.5
91301,16.8
91302,23.9
91303,53.1
91304,39
91306,52.7
91307,28.7
91311,30.2
