Zip Code,Incidence
90001,70.4
90002,74.6
90003,81.8
90004,23.3
90005,26.5
90006,36
90007,42.8
90008,77.5
90011,51.7
90012,18.4
90013,87.4
90014,82
90015,49.4
90016,62.7
90017,71.6
90018,60.3
90019,36.2
90020,17.7
90021,89.8
90022,48.5
90023,54.5
90024,10.2
90025,15.3
90026,19.1
90027,21.2
90028,37.3
90029,36.2
90031,29.3
90032,46
90033,73.1
90034,23.8
90035,31.9
90036,20.1
90037,75.8
90038,25.9
90039,38.6
90040,27.2
90041,30.2
90042,34.3
90043,88
90044,91.4
90045,18.5
90046,10.8
90047,101.9
90048,21.8
90049,8.6
90056,43.6
90057,38.2
90059,80.3
90061,83
90062,73.6
90063,40.2
90064,18.8
90065,50
90066,20.6
90068,11.4
90069,15.9
90201,35.8
90210,9.2
90211,26.9
90212,18.5
90220,82.1
90221,70.2
90222,79.3
90230,23.6
90232,29.2
90240,28.8
90241,31.4
90242,38
90247,46.6
90248,24.5
90249,63.7
90250,53.3
90254,10.5
90255,46.1
90260,37.7
90262,54.3
90265,10.7
90266,8.7
90270,47.9
90272,20.1
90274,16.6
90275,8.4
90277,14.6
90278,17.8
90280,30.4
90291,17.9
90292,23
90293,9.1
90301,65.3
90302,57.9
90303,64.9
90304,41.4
90305,75.9
90401,67.9
90403,16.4
90404,40.6
90405,23.1
90501,38.8
90502,30.8
90503,19
90504,22.9
90505,13.6
90601,43.4
90602,57.7
90603,28.1
90604,43.6
90605,33.9
90606,38.1
90620,35.8
90621,43.4
90623,13.8
90630,21.8
90631,31
90638,25.8
90640,37.2
90650,38.2
90660,42.6
90670,33.1
90680,40
90701,18
90703,29.8
90704,43.9
90706,43.6
90710,29
90712,142
90713,20.3
90715,45
90716,45.5
90717,38.3
90720,17.6
90723,35.2
90731,54.7
90732,19.4
90740,23.6
90744,48.3
90745,32.4
90746,49
90755,46.5
90802,58
90803,16.5
90804,66.2
90805,59.8
90806,81
90807,38.1
90808,24
90810,38
90813,119.9
90814,32.8
90815,16.5
91001,29.4
91006,17
91007,13.7
91010,31.1
91011,13.4
91016,27.2
91020,31.5
91030,15.5
91040,28.4
91042,28.3
91101,18.1
91103,41.9
91104,27.9
91105,23.8
91106,16.7
91107,16.3
91201,29.5
91202,19.7
91203,23.5
91204,63.7
91205,37.3
91206,18
91208,12
91214,36.7
91301,18.4
91302,10.7
91303,52.9
91304,37.6
91306,43.1
91307,28.3
91311,31.3
91316,48
91320,18.8
91321,28
91324,44.9
91325,36.4
91326,20.1
91331,57.5
91335,46.2
91340,55.8
91342,45
91343,64
91344,25.4
91345,50.8
91350,34.3
91351,26.9
91352,60.5
91354,12.8
91355,17.7
91356,47.9
91360,19.6
91361,15.4
91362,18.3
91364,18.7
91367,30.7
91381,21.4
91384,18.4
91387,43.4
91390,14.4
91401,36
91402,74.8
91403,34.2
91405,73.5
91406,48.3
91411,62.5
91423,25
91436,23.4
91501,28.2
91502,25.2
91504,22.3
91505,27.3
91506,40.2
91601,37.4
91602,26.3
91604,18.5
91605,52
91606,45
91607,29.4
91701,20.1
91702,43.2
91706,43.8
91708,35.6
91709,16
91710,35.5
91711,17.8
91722,36.6
91723,40.5
91724,34.5
91730,30.1
91731,32.5
91732,46.1
91733,40.5
91737,20.1
91739,23.2
91740,38.3
91741,24.5
91744,45.4
91745,25.2
91746,25.7
91748,18.9
91750,27
91752,35.8
91754,21.4
91755,13
91761,38.5
91762,51.4
91763,57.6
91764,58.3
91765,16.7
91766,58.2
91767,71.6
91768,41.8
91770,22.7
91773,26
91775,8.5
91776,26.6
91780,14.1
91784,24.4
91786,47.5
91789,11.6
91790,41.6
91791,30.5
91792,27.8
91801,15
91803,12.9
91901,17.4
91902,27.2
91910,33.7
91911,44.8
91913,15.7
91915,15.6
91932,50.5
91935,10.7
91941,26.8
91942,31
91945,53.3
91950,55.4
91977,38.4
91978,24.6
92007,27.9
92008,15
92009,8.7
92010,19.9
92011,15.8
92019,24.3
92020,39.7
92021,43.3
92024,14.2
92025,30.2
92026,23.6
92027,30.8
92028,22.1
92029,13.1
92037,6.5
92040,30.3
92054,31.6
92056,23.8
92057,22.6
92058,25.3
92064,13.8
92065,17.5
92069,17.7
92071,28.3
92078,12.2
92081,15.1
92082,25.4
92083,42.2
92084,28.1
92101,73.3
92102,50.4
92103,32.2
92104,37.7
92105,58.6
92106,16.5
92107,16.9
92108,24.8
92109,20.5
92110,27.5
92111,24.4
92113,74.7
92114,66.6
92115,40.4
92116,26.2
92117,25.4
92119,12.2
92120,25.2
92122,9.7
92123,26.7
92124,14.5
92126,20.6
92127,11.2
92128,12
92129,22.5
92130,6.3
92131,10.6
92139,35.3
92154,26.1
92173,40.5
92201,42.8
92203,17.7
92211,14.7
92220,60.6
92223,36.6
92225,32.5
92227,90.7
92230,147
92231,39.9
92233,35.4
92234,30.6
92236,37.6
92240,52
92241,14.3
92243,78.2
92249,34.5
92250,44.9
92251,43.2
92252,66.8
92253,19.8
92254,21
92257,83.8
92260,14.4
92262,39.7
92264,29.9
92270,16.2
92274,23.4
92276,28.7
92277,24.6
92284,26.4
92301,91
92307,71.6
92308,47.1
92311,113
92313,21.6
92314,35.8
92315,78.1
92316,59.1
92317,47.9
92320,43.5
92324,50.6
92325,180.1
92335,50.2
92336,27.8
92337,43.7
92342,69.4
92344,23.6
92345,63.5
92346,31.4
92354,20.9
92356,61.5
92359,40.5
92363,237.7
92371,46.8
92372,50.8
92373,23.1
92374,30
92376,59.3
92377,37.3
92392,61.2
92394,63
92395,75.5
92397,62.9
92399,25.8
92404,86.7
92405,91.4
92407,57.4
92408,40
92410,108.6
92411,170.6
92501,81.9
92503,38.1
92504,51.8
92505,32.7
92506,27.7
92507,51.8
92508,18.3
92509,41.2
92530,38.8
92532,32.5
92536,43.6
92543,94.6
92544,42.5
92545,43.3
92548,50.3
92551,36
92553,62.2
92555,38.8
92557,34.1
92562,17
92563,22.2
92567,24.9
92570,37.6
92571,40.6
92582,27.1
92583,47.7
92584,32.1
92585,25.9
92586,50.4
92587,32.1
92591,30
92592,16.4
92595,30.2
92596,17.8
92602,10.1
92603,10.6
92604,18.3
92606,10.4
92612,19.6
92614,14.1
92618,18.6
92620,9
92625,9.6
92626,19.4
92627,32.8
92629,23.3
92630,23.5
92637,14.5
92646,20.7
92647,36.5
92648,21
92649,18.4
92651,20.3
92653,16.4
92655,38.3
92656,15
92660,12.9
92663,20.9
92672,20.4
92673,19.9
92675,17.5
92677,19.9
92679,14
92683,27.3
92688,14.9
92691,17.4
92692,16.1
92694,13.7
92701,41
92703,27.2
92704,26.9
92705,22.8
92706,22.2
92707,25.1
92708,20
92780,21.3
92782,7.9
92801,38
92802,32.6
92804,35.6
92805,31.3
92806,36.8
92807,16.5
92808,13.6
92821,28.7
92831,33.6
92832,41.7
92833,24.4
92835,19.3
92840,31.1
