Zip Code,Incidence
90001,105.8
90002,123.8
90003,142.7
90004,91.7
90005,40.4
90006,88.6
90007,100.9
90008,137.3
90011,102.8
90012,53.2
90015,129.1
90016,156.9
90017,109.1
90018,113.6
90019,98.1
90020,123
90022,97.3
90023,125.6
90024,36.6
90025,30.4
90026,100.1
90027,49.8
90028,118.3
90029,112.6
90031,84.9
90032,89.3
90033,94.7
90034,64.8
90035,26.5
90036,34.2
90037,139.4
90038,84.4
90039,79
90040,97.5
90041,42.5
90042,71.6
90043,165.1
90044,157.3
90045,51.8
90046,45
90047,153.6
90049,20.1
90057,100.1
90059,129.8
90061,147.4
90062,181.4
90063,83.7
90064,27.1
90065,76.3
90066,57.2
90201,75.6
90220,158.4
90221,119.5
90222,133.7
90230,65.4
90232,70.8
90240,54.3
90241,91.7
90242,77.5
90247,117.9
90248,113.3
90249,100.3
90250,108
90255,79
90260,111.6
90262,78.4
90266,19.2
90270,72.5
90272,26.2
90277,25.4
90278,48.5
90280,73.2
90291,42
90301,144.9
90302,86.8
90303,148.5
90304,82
90305,132.9
90404,82.4
90405,46.9
90501,89.9
90502,87
90503,43.4
90504,56.8
90505,46.7
90601,102.6
90602,116.8
90603,70.8
90604,83.7
90605,108.4
90606,103.4
90620,87.1
90621,97.3
90623,68.9
90630,54.5
90631,79.3
90638,66.1
90640,76.3
90650,95.6
90660,96.2
90670,79.3
90680,61.7
90701,63.1
90703,73.3
90706,91.5
90710,98.2
90712,55.7
90713,41.5
90715,92.9
90716,95.2
90717,90.8
90723,90.5
90731,134.2
90732,51.2
90740,42.2
90744,110.1
90745,99.7
90746,168.6
90755,61.7
90802,104.6
90804,98.1
90805,118.9
90806,132.8
90807,67.5
90808,37.8
90810,101.5
90813,134.3
90814,99.7
90815,29.2
91001,59.3
91006,49.8
91007,34.5
91010,78.4
91016,73.4
91030,31.8
91040,71.4
91042,34.6
91101,48.2
91103,78.5
91104,48.9
91106,34.3
91107,44.9
91201,45.8
91202,37.6
91204,128.2
91205,68.3
91206,51.1
91208,51.4
91214,47.6
91301,28.2
91303,109.7
91304,98.8
91306,132.9
91307,80
91311,76.2
91316,63.7
91320,30.2
91321,66.3
91324,118.5
91325,83.9
91326,42.1
91331,100.8
91335,110
91340,91.6
91342,84.3
91343,126.2
91344,62.9
91345,85.7
91350,33
91351,69
91352,85.9
91354,30
91355,33.4
91356,67.7
91360,40
91362,48.7
91364,41.3
91367,38.2
91381,37.7
91384,44.2
91387,61.1
91390,25.1
91401,88
91402,117.6
91403,50.5
91405,112.7
91406,88.7
91411,72.1
91423,41.1
91501,32.4
91502,102.6
91504,66.9
91505,60.9
91506,51.6
91601,70.8
91605,102.3
91606,97.8
91607,74.9
91701,56.8
91702,91.3
91706,84.7
91708,65.6
91709,46
91710,81.8
91711,59.5
91722,54.4
91723,98.9
91724,70.6
91730,44.4
91731,83.6
91732,103.5
91733,88.9
91737,48.6
91739,41.4
91740,83.7
91741,47.4
91744,109.3
91745,73
91746,63.4
