Zip Code,Incidence
95531,95.5
95540,140.2
95602,73.9
95603,45.6
95605,104.3
95608,66.9
95610,80.5
95616,45.9
95618,59.9
95620,72.3
95621,60.3
95624,39.9
95628,40.2
95630,28.9
95632,54.2
95640,68
95648,31.9
95660,108.9
95661,53.4
95662,66
95667,56.9
95670,70.8
95673,120.1
95677,54.4
95678,55.4
95682,43.3
95687,107.4
95688,105.9
95691,80.6
95694,91.5
95695,39.9
95742,36.5
95746,35.4
95747,43
95757,43.7
95758,60.6
95762,29.3
95765,40.3
95776,47.9
95815,170
95817,144.6
95818,136.1
95819,40.2
95820,91
95821,159.5
95822,103.8
95823,137.7
95824,122.5
95825,209.1
95826,89.2
95827,72.4
95828,106.6
95829,57.2
95831,62.4
95832,101.7
95833,97.6
95834,118.5
95835,52.8
95838,144.8
95841,128.1
95842,107.7
95843,74.6
95864,61.6
95901,77.3
95912,107.3
95917,181.5
95926,71.6
95928,47.8
95945,65.3
95948,60.9
95949,60.1
95953,75.7
95961,35.8
95963,35.4
95965,46.6
95966,44.7
95969,32.1
95973,46.8
95991,44.7
95993,42.7
96001,56.3
96002,72.6
96003,47.6
96007,52.5
96019,125.4
96020,343.3
96021,107
96022,42.6
96080,120.1
96097,65.1
96101,152.2
96122,153
96130,52.2
96150,22.9
96161,35.4
90001,82.5
90002,134.3
90003,126.2
90004,96.9
90005,82.2
90006,82.7
90007,84.3
90008,170.8
90011,103
90012,37.2
90015,120.5
90016,125.2
90017,73.2
90018,128.3
90019,95
90020,75.8
90022,99.3
90023,84.1
90025,29.5
90026,112.8
90027,89.7
90028,160.7
90029,75.7
90031,84.3
90032,73.3
90033,91.3
90034,45.2
90035,21.6
90036,34.8
90037,136.7
90038,93.7
90039,61.8
90040,117.9
90041,41.4
90042,57.1
90043,183.7
90044,144.8
90045,40.8
90046,33.2
90047,156.9
90048,61.5
90057,99.9
90058,138.5
90059,186.5
90061,171.8
90062,168.6
90063,73
90064,31.1
90065,65.3
90066,51.6
90201,63.6
90220,147.6
90221,116.4
90222,149.6
90230,61.5
90232,89.2
90240,64.8
90241,59.9
90242,58.6
90247,93.5
90248,91.2
90249,111.2
90250,115.9
90254,38.1
90255,65.6
90260,102.7
90262,80.3
90266,18.8
90270,68.8
90275,21.2
90277,24.4
90278,44.6
90280,67.3
90291,40.9
90301,101.2
90302,103.3
90303,126.2
90304,89.3
90305,89.8
90404,89.8
90405,31.7
90501,91.2
90502,63.8
90503,42.6
90504,55.5
90505,40.2
90601,52.8
90602,88.3
90603,44.9
90604,74.6
90605,93.8
90606,68.8
90620,66.3
90621,78.2
90623,59.5
90630,51.8
90631,61.9
90638,33.1
90640,63.4
90650,68
90660,81.3
90670,46.8
90680,52.9
90701,84.4
90703,42.8
90706,73.9
90710,91.8
90712,58.4
90713,50.3
90715,54.5
90716,73.1
90717,78.9
90720,29
90723,74.8
90731,124.8
90732,47.1
90744,93.1
90745,87.9
90746,147.6
90755,45.1
90802,78.2
90803,28
90804,92.1
90805,119.1
90806,107.2
90807,86.7
90808,42.2
90810,98.3
90813,107.8
90814,45.6
90815,33.8
91001,50.9
91006,34.2
91007,30.7
91010,64.5
91016,56.3
91024,58.1
91030,33
91040,63.5
91042,42.2
91103,63.7
91104,63.4
91106,39.6
91107,42.2
91201,34.6
91202,56.6
91204,41.6
91205,48.9
91206,42.1
91214,24.8
91302,33.5
91303,94.7
91304,106.5
91306,119
91307,42
91311,87.5
91316,85.6
91320,31.1
91321,56
91324,113.3
91325,84.8
91326,27
91331,82
91335,100.7
91340,76.2
91342,69
91343,111.7
91344,66.9
91345,81.3
91350,49.8
91351,66.6
91352,82.6
91354,33.1
91355,37.3
91356,58.6
91360,29.3
91362,27.5
91364,24.6
91367,37.6
91381,24.7
91384,50.9
91387,62.5
91390,29.5
91401,62.4
91402,96.8
91405,102.2
91406,72.4
91411,78.6
91423,52.1
91501,49.3
91502,68.4
91504,78.2
91505,33.7
91506,44
91601,89
91604,30.7
91605,69.2
91606,104.9
91607,43
91701,42.1
91702,97.9
91706,80.8
91708,64.4
91709,38.7
91710,58.8
91711,60.8
91722,84.9
91723,107.2
91724,59
91730,50.8
91731,82.6
91732,82.6
91733,90.9
91737,22.1
91739,25.5
91740,108.2
91741,76.4
91744,90
91745,54
91746,60.4
91748,23.2
91750,38.4
91752,54.1
91754,45.4
91755,42
91761,66.6
91762,77.3
91763,71.9
91764,83.2
91765,53.6
91766,88.5
91767,79
91768,111.3
91770,54.8
91773,70.3
91775,25
91776,80.7
91780,52.6
91784,32.5
91786,74.5
91789,51.9
91790,78.1
91791,69.3
91792,52
91801,50.7
91803,59.8
91902,82.2
91910,86.4
91911,87.4
91913,53.1
