Zip Code,Incidence
92131,12.8
92139,39
92154,29.4
92173,33.4
92201,39.4
92203,18.9
92211,23.6
92220,65.1
92223,44.8
92225,50.3
92227,82.7
92230,97.5
92231,26.2
92233,26.2
92234,24.2
92236,39.8
92240,41.7
92241,18.6
92243,62
92250,28.5
92251,26.5
92252,70.8
92253,19.4
92254,34.9
92257,96.6
92260,22.1
92262,49
92264,41.6
92270,13.2
92274,26.3
92276,25.5
92277,33.2
92284,38.8
92301,81.9
92307,78.9
92308,56.6
92311,108.6
92313,17
92314,34
92315,97.8
92316,44.2
92317,89.7
92320,29.6
92324,52.5
92325,120.6
92335,57.9
92336,26.5
92337,38.4
92342,73
92344,27.5
92345,57.3
92346,28.8
92352,70.8
92354,28.8
92356,55.9
92359,44.4
92363,187.4
92371,61.7
92373,27.7
92374,32.7
92376,59.1
92377,46.5
92392,63.7
92394,64.5
92395,83.5
92397,53
92399,31.2
92404,94.1
92405,94.8
92407,57.6
92408,48.9
92410,105.9
92411,129.6
92501,71.5
92503,39.4
92504,41.3
92505,35.4
92506,31.7
92507,44.7
92508,22.9
92509,31.2
92530,37.2
92532,26.1
92539,33.7
92543,76
92544,38.8
92545,45.4
92548,55.4
92551,34.8
92553,54
92555,40.9
92557,27.2
92562,24.7
92563,22.1
92567,20.7
92570,42.6
92571,34.9
92582,32.2
92583,42.5
92584,31.3
92585,18.7
92586,52.7
92587,35
92591,24
92592,19.5
92595,27.3
92596,19.6
92602,17.2
92603,8.7
92604,19.4
92606,17.1
92610,24
92612,13.6
92614,10.1
92618,26
92620,13.8
92624,29.3
92625,25.1
92626,26.7
92627,31.9
92629,20.4
92630,24.8
92637,20.7
92646,18.4
92647,28.8
92648,26.5
92649,17.1
92651,18.4
92653,20.6
92655,44.1
92656,16.6
92660,20.1
92663,19
92672,18.3
92673,14.4
92675,18.4
92677,17.8
92679,18.3
92683,33.1
92688,17.6
92691,17.3
92692,14.7
92694,14.5
92701,41.4
92703,28.8
92704,27
92705,17.9
92706,24.7
92707,33.8
92708,17.9
92780,25.4
92782,12.7
92801,52.4
92802,36.6
92804,37.6
92805,31.5
92806,48.1
92807,19.9
92808,15.6
92821,23.2
92831,36.9
92832,41.9
92833,34.7
92835,16.7
92840,28
92841,36.8
92843,36.5
92844,25.5
92845,11
92860,30
92865,24.1
92866,41.2
92867,14
92868,24.7
92869,17.6
92870,26.4
92879,36.5
92880,21.6
92881,17.1
92882,28
92883,20.8
92886,22.8
92887,10.4
93001,32.2
93003,21.9
93004,19.4
93010,24.8
93012,18.6
93013,17.9
93015,28.1
93021,22.2
93022,38.6
93023,46.2
93030,69.9
93033,27.4
93035,18.9
93036,26.8
93041,32.1
93060,36
93063,23.2
93065,24.8
93101,41.8
93103,29.6
93105,15.8
93110,23.2
93111,20.3
93117,13.4
93202,158.6
93203,28.6
93204,25.5
93210,24.3
93212,47.7
93215,31.8
93219,46.9
93221,19
93223,55.9
93230,108.6
93234,35.8
93235,82.7
93240,60.5
93241,23.6
93242,60.3
93245,61.4
93247,39.2
93250,36.3
93256,39
93257,40.1
93263,36.4
93267,40.6
93268,22.6
93270,40.9
93274,52.3
93277,39.7
93280,23.3
93286,40.9
93291,49.5
93292,30.1
93301,151.8
93304,86.7
93305,97.9
93306,47.4
93307,69.5
93308,62.8
93309,48.1
93311,22.9
93312,17.4
93313,34.2
93314,13.8
93401,24.1
93402,28.1
93405,16.5
93420,29.5
93422,25.6
93433,35.9
93436,47.7
93442,21.6
93444,32.9
93445,31
93446,31
93454,39.9
93455,29.5
93458,28.3
93463,24.7
93465,48.1
93501,78.9
93505,45.9
93510,32.6
93514,34.3
93534,118.4
93535,97.3
93536,35.2
93543,41.3
93546,36.4
93550,79.4
93551,30.2
93552,46.4
93555,53
93560,34
93561,26.7
93591,75.6
93602,36.5
93610,25.7
93611,34
93612,65.8
93618,18.4
93619,13.5
93620,115.9
93622,28.2
93625,45.4
93630,29.3
93631,36.8
93635,101.5
93636,17.9
93637,33.8
93638,47.2
93640,29.9
93646,56.8
93647,29.7
93648,53.3
93650,164.7
93654,41.7
93656,32.7
93657,31.8
93662,57.9
93667,69.3
93701,129.5
93702,89.5
93703,108.7
93704,64.4
93705,75.9
93706,86.3
93710,52.7
93711,25.3
93720,22
93721,61.6
93722,53.4
93723,28.4
93725,53.4
93726,82.2
93727,40.5
93728,79.9
93901,94
93905,49.6
93906,51.7
93907,32.1
93908,13.3
93926,39.9
93927,25.2
93930,15.8
93933,30.7
93940,19
93950,24.7
93955,38.7
93960,14.4
94002,26.1
94005,49.4
94010,18.6
94014,40.5
94015,37.4
94019,20.7
94025,15.3
94030,31.3
94040,14.2
94043,13.6
94044,26.8
94061,35.3
94062,26.1
94063,52.7
94065,14.4
94066,48.9
94070,24.5
94080,40.7
94085,36.9
94086,9.6
94087,10.4
94089,34
94102,104.1
94103,77.6
94107,28.8
94108,14.4
94109,25.9
94110,37
94112,27
94114,20.4
94115,47.4
94116,16.3
94117,18.7
94118,14.6
94121,17.1
94122,13.6
94123,21.4
94124,108
94127,18.6
94130,107.6
94131,24.1
94132,24.1
94133,22.7
94134,35.1
94301,8.3
94303,41.6
94306,8.2
94401,48.7
94402,31.7
94403,30.7
94404,17.2
94501,42.7
94502,13.8
94503,46.2
94505,31.9
94506,10.3
94507,9
94509,137
