Zip Code,Incidence
95003,30.2
95008,23.6
95012,64
95014,8.2
95019,78.3
95020,60.7
95023,76.9
95032,21.8
95035,35.5
95037,31.7
95046,83.1
95050,29.7
95051,24
95054,32.4
95060,28.8
95062,40.3
95076,87
95110,44.7
95111,59
95112,57.6
95116,64.3
95117,39.2
95118,25.6
95120,14
95121,40.2
95122,69.1
95123,40.6
95124,26.8
95125,23.9
95126,41.7
95127,58.7
95128,22.4
95131,28.5
95132,35.1
95133,36.3
95134,32.3
95135,21.8
95136,41.7
95138,32
95148,35.8
95202,240.8
95203,183.6
95204,94.6
95205,105.9
95206,110.8
95207,122.2
95209,58
95210,86.5
95212,43.4
95215,42.6
95219,45.5
95240,83.1
95242,39.5
95252,54
95301,98.2
95307,64.1
95315,75.4
95316,77.5
95320,38.5
95322,142.5
95324,75.2
95326,51.6
95330,84.6
95334,93.2
95336,72.3
95337,67.3
95338,87.4
95340,176.6
95341,152.2
95348,134.6
95350,93.8
95351,102.1
95354,89
95355,57.7
95356,62
95357,77.2
95358,69
95360,57.7
95361,87.5
95363,53.7
95365,314.9
95366,39.3
95367,70
95368,40.2
95370,72.7
95376,80.4
95377,30.8
95380,90
95382,55
95386,81.3
95388,138.9
95391,69.2
95401,79
95403,66.5
95404,49.2
95405,49.2
95407,69.1
95409,40.6
95422,69
95437,49.8
95451,94.3
95453,104.8
95472,42.3
95476,50.5
95482,89.2
95490,69.1
95492,45.5
95501,71.9
95503,58.1
95519,35
95521,60.6
95531,135.7
95540,86.4
95551,312.2
95602,84.5
95603,42.5
95605,83
95608,64.7
95610,69.3
95616,44.1
95618,36.5
95620,85.6
95621,78
95624,42.1
95628,57.2
95630,22.5
95632,35.9
95640,61.9
95642,126.3
95648,33.8
95660,98.3
95661,37.1
95662,43.6
95667,57.5
95670,64.4
95673,71.2
95677,49.6
95678,31.1
95682,47.5
95687,69.4
95688,85.2
95691,84
95694,67.1
95695,56.7
95747,28.8
95757,43.6
95758,49.9
95762,24.4
95765,32.9
95776,63.7
95811,199.4
95815,134.6
95817,117.5
95818,86.8
95819,46.2
95820,96.3
95821,152.2
95822,94.5
95823,133.3
95824,104.4
95825,186.6
95826,71.2
95827,78
95828,87.1
95829,40.6
95831,55.5
95832,151.2
95833,90.5
95834,98
95835,41.4
95838,129.2
95841,89.4
95842,117.1
95843,52.7
95864,56.8
95901,47.1
95926,41.5
95928,28.6
95945,52.5
95948,50.8
95949,40.6
95953,75.9
95961,42.1
95963,67.3
95965,65
95966,70.2
95969,60.6
95973,43.9
95991,52.5
95993,30.2
96001,69.9
96002,75.8
96003,57.5
96007,46.5
96021,50.9
96022,75.9
96035,141.9
96080,100.1
96097,54.5
96101,139.9
96122,187.2
96130,51.7
90001,95.5
90002,127.3
90003,137.9
90004,95.3
90005,79.7
90006,88.2
90007,111
90008,159.9
90011,109.6
90012,54.7
90015,105.8
90016,130.2
90017,122.1
90018,109.7
90019,113.3
90020,89.3
90022,88.5
90023,106.1
90025,25.7
90026,98.5
90027,57.7
90028,133
