Zip Code,Incidence
90001,63
90002,79.5
90003,90.8
90004,32.3
90005,14.2
90006,34
90007,36.9
90008,104.2
90011,48
90012,14.3
90013,87
90014,91.2
90015,55.2
90016,57.2
90017,79.3
90018,51.6
90019,39.7
90020,38.1
90021,148.3
90022,60.3
90023,60.3
90024,15.4
90025,15
90026,28.3
90027,31.7
90028,47.4
90029,41
90031,36.5
90032,42.2
90033,60.1
90034,25.5
90035,31.3
90036,24.5
90037,68
90038,29.8
90039,22.9
90040,36.2
90041,26.5
90042,40.8
90043,94.8
90044,82.4
90045,16.4
90046,20
90047,106.6
90048,16.7
90049,11.2
90056,67.1
90057,46.2
90058,54.7
90059,95.3
90061,87.1
90062,99.3
90063,39.2
90064,19.5
90065,43.6
90066,26.9
90068,14
90069,13.5
90201,40.4
90210,13.8
90211,24.4
90212,26.4
90220,99.6
90221,69.4
90222,89.6
90230,30.2
90232,24.2
90240,18.9
90241,31.8
90242,37.6
90245,18.8
90247,59.5
90248,29
90249,62.4
90250,49.6
90254,9.1
90255,43.9
90260,33.4
90262,47.7
90265,9.7
90266,8.5
90270,45.9
90272,7.8
90274,8.2
90275,10.6
90277,15.5
90278,14
90280,32.8
90291,24
90292,13.7
90293,16.6
90301,71.2
90302,80.8
90303,67.7
90304,39.4
90305,92.6
90401,45
90403,16.8
90404,41.2
90405,15.5
90501,36.2
90502,31.3
90503,17.1
90504,27.2
90505,16.4
90601,45.8
90602,57.4
90603,36
90604,37.4
90605,33.9
90606,31.7
90620,33.5
90621,43.8
90623,15.3
90630,23.6
90631,31.4
90638,28.7
90640,37.9
90650,39.9
90660,39.4
90670,45
90680,43
90701,18.4
90703,26.6
90706,38.6
90710,31.3
90712,162.1
90713,24.6
90715,33.8
90716,48.2
90717,37.1
90720,24.8
90723,41.1
90731,76.8
90732,35.2
90740,17.1
90744,53.3
90745,33.4
90746,50.6
90755,33.8
90802,59.6
90803,12.1
90804,75.9
90805,72.3
90806,87.1
90807,26.7
90808,27.9
90810,59.3
90813,130.7
90814,25.8
90815,17.7
91001,29.2
91006,14.4
91007,15.2
91010,34.9
91011,15.3
91016,30.8
91020,21.2
91024,15.1
91030,17.6
91040,29.8
91042,23.7
91101,18.6
91103,46.5
91104,26.6
91105,12.9
91106,17.1
91107,18.3
91201,25.8
91202,19.9
91203,45.2
91204,49.2
91205,36.8
91206,30.7
91207,21.5
91208,9.1
91214,32.4
91301,13.7
91302,15.2
91303,64.1
91304,42.6
91306,45.5
91307,35.1
91311,27.1
91316,51.2
91320,14.8
91321,40.1
91324,44.8
91325,46.1
91326,16
91331,62.3
91335,53.9
91340,62.2
91342,43.4
91343,57.3
91344,35.1
91345,38.7
91350,24.5
91351,44.4
91352,58.2
91354,14.6
91355,25.3
91356,40.3
91360,15
91361,8.9
91362,20
91364,22.9
91367,30.5
91381,10.6
91384,24.9
91387,43.8
91390,11.8
91401,38.8
91402,70.4
91403,40.8
91405,68.1
91406,48.6
91411,61.8
91423,25.3
91436,23.1
91501,29.8
91502,21.5
91504,23.5
91505,25.7
91506,27.5
91601,43.9
91602,24.7
91604,16.5
91605,62.4
91606,50.9
91607,39.9
91701,27.1
91702,41.3
91706,42.3
91708,39.2
91709,19.2
91710,26.9
91711,17.1
91722,34.7
91723,41.5
91724,35.6
91730,33
91731,37.8
91732,48.5
91733,37.7
91737,19.8
91739,19.3
91740,35.4
91741,24.3
91744,49.8
91745,28.2
91746,33.4
91748,16.2
91750,26.9
91752,40.2
91754,21.6
91755,14
91761,28.3
91762,56.7
91763,45.3
91764,47.1
91765,17.2
91766,51.9
91767,70.3
91768,47.1
91770,22.9
91773,30.9
91775,17
91776,21.5
91780,14.5
91784,16.3
91786,44.6
91789,13.7
91790,35
91791,31
91792,34.1
91801,29.7
91803,20.4
91901,12.1
91902,18.9
91910,38.3
91911,47.2
91913,16.4
91915,10.1
91932,60.8
91941,25.3
91942,33.6
91945,61.2
91950,65.5
91977,38.7
91978,31.3
92007,17.1
92008,14.5
92009,6.4
92010,14.5
92011,10.6
92019,26
92020,49.9
92021,58.8
92024,13
92025,35.8
92026,24.7
92027,28.6
92028,16.6
92029,7.3
92037,7.9
92040,28.4
92054,24.9
92056,28.9
92057,11.9
92058,60.1
92061,55.9
92064,11.4
92065,16.6
92069,14.9
92071,28.8
92078,10.9
92081,28.3
92082,22.2
92083,31.2
92084,28.2
92101,52.9
92102,58.8
92103,53.5
92104,39.7
92105,50.3
92106,20.4
