Zip Code,Incidence
95829,36.5
95831,32
95832,78.7
95833,64.4
95834,60
95835,48.2
95838,112
95841,78.4
95842,81.5
95843,51.7
95864,43.1
95901,63.1
95917,56.5
95926,43.8
95928,43.8
95932,25.6
95945,48.9
95946,36.2
95948,48.8
95949,41.8
95953,33.8
95954,50
95959,26.1
95961,36.1
95963,43.7
95965,43.3
95966,48.7
95969,55.7
95971,32.2
95973,27.9
95988,58.9
95991,36.5
95993,13.9
96001,41.2
96002,52.7
96003,26.2
96007,30.7
96019,50.4
96021,56.8
96022,42.9
96035,41.3
96055,69.5
96064,45.4
96067,52
96080,53.6
96093,108.1
96094,30.2
96097,49.4
96101,146.6
96122,101
96130,33.7
96137,71.9
96150,28.3
96161,15.2
90001,62.9
90002,76.5
90003,80.2
90004,31.2
90005,20.5
90006,24.8
90007,24.4
90008,90.3
90011,44.4
90012,23.8
90013,101.4
90014,39.8
90015,46.2
90016,61.3
90017,46.9
90018,62.7
90019,38.5
90020,23
90021,107
90022,43
90023,40.1
90024,25.4
90025,13.3
90026,26.8
90027,22.6
90028,47
90029,39.1
90031,30.8
90032,44.3
90033,55.4
90034,21.6
90035,18.3
90036,24.5
90037,65.7
90038,32.5
90039,30.1
90040,33.5
90041,21.2
90042,29.6
90043,94.3
90044,85.5
90045,13
90046,14.4
90047,104
90048,15.4
90049,11.2
90056,81.4
90057,50.8
90058,73.8
90059,110.7
90061,115.9
90062,62.8
90063,35.8
90064,23
90065,39.3
90066,18
90068,12.8
90069,18.4
90201,35.7
90210,5.6
90211,32.4
90212,18.7
90220,74.1
90221,61.4
90222,94.7
90230,30.1
90232,20
90240,26.8
90241,35.3
90242,25.1
90245,11.3
90247,58.5
90248,30.7
90249,46.4
90250,45.7
90254,10.7
90255,47.3
90260,38.7
90262,47.4
90266,4.8
90270,35.3
90272,11.1
90274,17.1
90275,11.4
90277,9.5
90278,19.5
90280,38.9
90291,32.4
90292,19
90293,12.3
90301,62.9
90302,60.1
90303,58.5
90304,39.2
90305,65.3
90401,65
90402,11.9
90403,11.8
90404,38.6
90405,28.4
90501,34.3
90502,42.2
90503,12.5
90504,13.6
90505,22.2
90601,30.5
90602,48.9
90603,19.7
90604,25.9
90605,32.9
90606,37
90620,29.9
90621,27.7
90623,28.1
90630,21.6
90631,25.6
90638,19.6
90640,37.5
90650,32.3
90660,35.3
90670,29.2
90680,35.1
90701,20.4
90703,23.8
90706,38.4
90710,32.3
90712,145.3
90713,29.7
90715,36.6
90716,36.2
90717,29.7
90720,27.1
90723,36.9
90731,66.7
90732,22.9
90740,18.7
90744,45.1
90745,47.9
90746,54.8
90755,30
90802,51.5
90803,12.5
90804,63.8
90805,55.3
90806,70.2
90807,28.2
90808,16.8
90810,51.4
90813,85.8
90814,22.8
90815,11.8
91001,27.4
91006,11.9
91007,8.6
91010,36.1
91016,31.8
91020,20.7
91030,11.6
91040,40.3
91042,19
91101,22.6
91103,39.2
91104,29
91105,14.2
91106,16.4
91107,15.7
91201,17.7
91202,19.7
91203,13.9
91204,46.1
91205,34.4
91206,26
91208,36.6
91214,16.3
91301,10.2
