"Year","County","Mean.Incidence.Children"
2016,"Sacramento",85.5578947368421
2016,"San Benito",76.9
2016,"San Bernardino",88.1836734693878
2016,"San Diego",54.8442857142857
2016,"San Francisco",78.25
2016,"San Joaquin",82.8047619047619
2016,"San Luis Obispo",70.4444444444444
2016,"San Mateo",49.1411764705882
2016,"Santa Barbara",77.97
2016,"Santa Clara",36.774358974359
2016,"Santa Cruz",52.92
2016,"Shasta",65.12
2016,"Siskiyou",54.5
2016,"Solano",109.1
2016,"Sonoma",50.8416666666667
2016,"Stanislaus",71.0777777777778
2016,"Sutter",52.8666666666667
2016,"Tehama",97.6333333333333
2016,"Tulare",69.96875
2016,"Tuolumne",72.7
2016,"Ventura",54.9666666666667
2016,"Yolo",62.1571428571429
2016,"Yuba",44.6
2017,"Alameda",96.2219512195122
2017,"Amador",68
2017,"Butte",66.5
2017,"Calaveras",60.7
2017,"Colusa",107.3
2017,"Contra Costa",77.8607142857143
2017,"Del Norte",95.5
2017,"El Dorado",38.1
2017,"Fresno",156.640540540541
2017,"Glenn",35.4
2017,"Humboldt",71.34
2017,"Imperial",167.7625
2017,"Inyo",93.8
2017,"Kern",89.5304347826087
2017,"Kings",148.25
2017,"Lake",134
2017,"Lassen",52.2
2017,"Los Angeles",76.1753246753247
2017,"Madera",120.083333333333
2017,"Marin",37.58
2017,"Mendocino",213.825
2017,"Merced",126.290909090909
2017,"Modoc",152.2
2017,"Monterey",87.7
2017,"Napa",53.0333333333333
2017,"Nevada",53.6
2017,"Orange",49.8942028985507
2017,"Placer",48.1444444444444
2017,"Plumas",248.15
2017,"Riverside",65.8333333333333
2017,"Sacramento",91.2421052631579
2017,"San Benito",88.1
2017,"San Bernardino",78.9224489795918
2017,"San Diego",57.4449275362319
2017,"San Francisco",81.3
2017,"San Joaquin",85.4260869565217
2017,"San Luis Obispo",62.7444444444444
2017,"San Mateo",48.3352941176471
2017,"Santa Barbara",65.7444444444444
2017,"Santa Clara",40.9275
2017,"Santa Cruz",50.86
2017,"Shasta",66.1666666666667
2017,"Siskiyou",65.1
2017,"Solano",115.863636363636
2017,"Sonoma",55.6583333333333
2017,"Stanislaus",75.3111111111111
2017,"Sutter",54.3666666666667
2017,"Tehama",113.55
2017,"Tulare",68.44375
2017,"Tuolumne",82
2017,"Ventura",50.5277777777778
2017,"Yolo",67.1428571428571
2017,"Yuba",56.55
