"Year","County","Mean.Incidence.Adults"
2016,"Santa Barbara",30.0466666666667
2016,"Santa Clara",41.7608695652174
2016,"Santa Cruz",23.0272727272727
2016,"Shasta",35.1142857142857
2016,"Siskiyou",46.15
2016,"Solano",70.6727272727273
2016,"Sonoma",28.8125
2016,"Stanislaus",42.0941176470588
2016,"Sutter",26.8666666666667
2016,"Tehama",59.6
2016,"Tulare",32.5785714285714
2016,"Tuolumne",64.1666666666667
2016,"Ventura",27.0666666666667
2016,"Yolo",30.9285714285714
2016,"Yuba",41.5
2017,"Alameda",44.5066666666667
2017,"Amador",56.68
2017,"Butte",46.5
2017,"Calaveras",104.275
2017,"Colusa",25.6
2017,"Contra Costa",45.4027777777778
2017,"Del Norte",48.5
2017,"El Dorado",45.4875
2017,"Fresno",54.9121212121212
2017,"Glenn",51.3
2017,"Humboldt",82.46
2017,"Imperial",46.6428571428571
2017,"Inyo",59.5
2017,"Kern",50.4851851851852
2017,"Kings",53.22
2017,"Lake",77.075
2017,"Lassen",52.8
2017,"Los Angeles",37.3728682170543
2017,"Madera",33.1166666666667
2017,"Marin",23.87
2017,"Mariposa",67.5
2017,"Mendocino",70.06
2017,"Merced",55.9083333333333
2017,"Modoc",146.6
2017,"Mono",36.7
2017,"Monterey",37.14
2017,"Napa",34.26
2017,"Nevada",33.64
2017,"Orange",20.9013333333333
2017,"Placer",33.9
2017,"Plumas",66.6
2017,"Riverside",38.1762711864407
2017,"Sacramento",62.4325581395349
2017,"San Benito",44.65
2017,"San Bernardino",56.5965517241379
2017,"San Diego",23.3383561643836
2017,"San Francisco",33.128
2017,"San Joaquin",65.0115384615385
2017,"San Luis Obispo",25.3090909090909
2017,"San Mateo",42.2
2017,"Santa Barbara",25.6142857142857
2017,"Santa Clara",44.4708333333333
2017,"Santa Cruz",20.4222222222222
2017,"Shasta",40.6833333333333
2017,"Siskiyou",44.25
2017,"Solano",80.6818181818182
2017,"Sonoma",35.84375
2017,"Stanislaus",49.365
2017,"Sutter",28.0666666666667
2017,"Tehama",55.3
2017,"Trinity",108.1
2017,"Tulare",36.6692307692308
2017,"Tuolumne",55.32
2017,"Ventura",32.4181818181818
2017,"Yolo",44.8125
2017,"Yuba",49.6
