"Year","County","Mean.Incidence.Adults","Mean.Incidence.Children"
2015,"Mendocino",54.375,78.2333333333333
2015,"Merced",63.5833333333333,128.545454545455
2015,"Modoc",64.3,NA
2015,"Mono",35,76.4
2015,"Monterey",40.7714285714286,92.175
2015,"Napa",39.12,68.4333333333333
2015,"Nevada",44.9,88.1
2015,"Orange",24.8038461538462,58.2157142857143
2015,"Placer",34.3,44.1222222222222
2015,"Plumas",77.0333333333333,NA
2015,"Riverside",39.6637931034483,66.7711538461539
2015,"Sacramento",66.0909090909091,97.2432432432432
2015,"San Benito",37.9,73.4
2015,"San Bernardino",55.6150943396226,86.9244444444444
2015,"San Diego",28.9040540540541,62.6101449275362
2015,"San Francisco",32.2090909090909,73.8722222222222
2015,"San Joaquin",61.588,95.7181818181818
2015,"San Luis Obispo",33.1666666666667,72.1
2015,"San Mateo",33.3789473684211,55.38125
2015,"Santa Barbara",33.1333333333333,68.2833333333333
2015,"Santa Clara",30.4404255319149,43.6878048780488
2015,"Santa Cruz",27.625,59.75
2015,"Shasta",45.9875,73.7
2015,"Siskiyou",50.25,NA
2015,"Solano",64.07,109.266666666667
2015,"Sonoma",37.1235294117647,53.45
2015,"Stanislaus",48.6210526315789,82.7444444444444
2015,"Sutter",29.8666666666667,44.2
2015,"Tehama",49.7666666666667,96.3
2015,"Trinity",72.5,NA
2015,"Tulare",39.0866666666667,85.5875
2015,"Tuolumne",59.3,49
2015,"Ventura",27.0095238095238,60.9736842105263
2015,"Yolo",40.8714285714286,61.4714285714286
2015,"Yuba",45.4,63.9
2016,"Alameda",44.3108695652174,103.41
2016,"Amador",58.85,94.1
2016,"Butte",35.15,51.5142857142857
2016,"Calaveras",86.45,54
2016,"Colusa",22.85,NA
2016,"Contra Costa",43.7470588235294,81.4925925925926
2016,"Del Norte",52.1,135.7
2016,"El Dorado",44.2285714285714,43.1333333333333
2016,"Fresno",42.8,149.335135135135
2016,"Glenn",35.75,67.3
2016,"Humboldt",83.6375,104.033333333333
2016,"Imperial",43,172.2875
2016,"Inyo",29.4,104.3
2016,"Kern",50.4076923076923,88.5333333333333
2016,"Kings",55.32,160.14
2016,"Lake",75.1777777777778,89.3666666666667
2016,"Lassen",47.3,51.7
2016,"Los Angeles",37.4403100775194,81.417316017316
2016,"Madera",32.72,122.883333333333
2016,"Marin",22.8,45.5833333333333
2016,"Mariposa",41.4,87.4
2016,"Mendocino",60.3,69.3666666666667
2016,"Merced",55.775,136.358333333333
2016,"Modoc",100.8,139.9
2016,"Mono",21.7,65.9
2016,"Monterey",38.14,66.7769230769231
2016,"Napa",29.95,51.3333333333333
2016,"Nevada",29,46.55
2016,"Orange",20.2684931506849,51.719696969697
2016,"Placer",29.0181818181818,42.5375
2016,"Plumas",72.55,187.2
2016,"Riverside",34.9032786885246,66.1716981132075
